"city_vil_1" "city_vil_3"
"Xiluo" "Yunlin"
"Erlun" "Yunlin"
"Beigang" "Yunlin"
"Shuilin" "Yunlin"
"Kouhu" "Yunlin"
"Sihu" "Yunlin"
"Yuanzhang" "Yunlin"
"West" "Dist.,"
"East" "Tainan"
"South" "Tainan"
"North" "Tainan"
"Anping" "Tainan"
"Annan" "Tainan"
"Yongkang" "Tainan"
"Guiren" "Tainan"
"Xinhua" "Tainan"
"Zuozhen" "Tainan"
"Yujing" "Tainan"
"Nanxi" "Tainan"
"Nanhua" "Tainan"
"Rende" "Tainan"
"Guanmiao" "Tainan"
"Longqi" "Tainan"
"Guantian" "Tainan"
"Madou" "Tainan"
"Jiali" "Tainan"
"Xigang" "Tainan"
"Qigu" "Tainan"
"Jiangjun" "Tainan"
"Xuejia" "Tainan"
"Beimen" "Tainan"
"Xinying" "Tainan"
"Houbi" "Tainan"
"Baihe" "Tainan"
"Dongshan" "Tainan"
"Liujia" "Tainan"
"Xiaying" "Tainan"
"Liuying" "Tainan"
"Yanshui" "Tainan"
"Shanhua" "Tainan"
"Danei" "Tainan"
"Shanshang" "Tainan"
"Xinshi" "Tainan"
"Anding" "Tainan"
"Xinxing" "Kaohsiung"
"Qianjin" "Kaohsiung"
"Lingya" "Kaohsiung"
"Yancheng" "Kaohsiung"
"Gushan" "Kaohsiung"
"Qijin" "Kaohsiung"
"Qianzhen" "Kaohsiung"
"Sanmin" "Kaohsiung"
"Nanzi" "Kaohsiung"
"Xiaogang" "Kaohsiung"
"Zuoying" "Kaohsiung"
"Renwu" "Kaohsiung"
"Dashe" "Kaohsiung"
"Dongsha" "Nanhai"
"Nansha" "Nanhai"
"Gangshan" "Kaohsiung"
"Luzhu" "Kaohsiung"
"Alian" "Kaohsiung"
"Tianliao" "Kaohsiung"
"Yanchao" "Kaohsiung"
"Qiaotou" "Kaohsiung"
"Ziguan" "Kaohsiung"
"Mituo" "Kaohsiung"
"Yong’an" "Kaohsiung"
"Hunei" "Kaohsiung"
"Fengshan" "Kaohsiung"
"Daliao" "Kaohsiung"
"Linyuan" "Kaohsiung"
"Niaosong" "Kaohsiung"
"Dashu" "Kaohsiung"
"Qishan" "Kaohsiung"
"Meinong" "Kaohsiung"
"Liugui" "Kaohsiung"
"Neimen" "Kaohsiung"
"Shanlin" "Kaohsiung"
"Jiaxian" "Kaohsiung"
"Taoyuan" "Kaohsiung"
"Namaxia" "Kaohsiung"
"Maolin" "Kaohsiung"
"Qieding" "Kaohsiung"
"Magong" "Penghu"
"Xiyu" "Penghu"
"Wang’an" "Penghu"
"Qimei" "Penghu"
"Baisha" "Penghu"
"Huxi" "Penghu"
"Jinsha" "Kinmen"
"Jinhu" "Kinmen"
"Jinning" "Kinmen"
"Jincheng" "Kinmen"
"Lieyu" "Kinmen"
"Wuqiu" "Kinmen"
"Pingtung" "Pingtung"
"Sandimen" "Pingtung"
"Wutai" "Pingtung"
"Majia" "Pingtung"
"Jiuru" "Pingtung"
"Ligang" "Pingtung"
"Gaoshu" "Pingtung"
"Yanpu" "Pingtung"
"Changzhi" "Pingtung"
"Linluo" "Pingtung"
"Zhutian" "Pingtung"
"Neipu" "Pingtung"
"Wandan" "Pingtung"
"Chaozhou" "Pingtung"
"Taiwu" "Pingtung"
"Laiyi" "Pingtung"
"Wanluan" "Pingtung"
"Kanding" "Pingtung"
"Xinpi" "Pingtung"
"Nanzhou" "Pingtung"
"Linbian" "Pingtung"
"Donggang" "Pingtung"
"Liuqiu" "Pingtung"
"Jiadong" "Pingtung"
"Xinyuan" "Pingtung"
"Fangliao" "Pingtung"
"Fangshan" "Pingtung"
"Chunri" "Pingtung"
"Shizi" "Pingtung"
"Checheng" "Pingtung"
"Mudan" "Pingtung"
"Hengchun" "Pingtung"
"Manzhou" "Pingtung"
"Taitung" "Taitung"
"Ludao" "Taitung"
"Lanyu" "Taitung"
"Yanping" "Taitung"
"Beinan" "Taitung"
"Luye" "Taitung"
"Guanshan" "Taitung"
"Haiduan" "Taitung"
"Chishang" "Taitung"
"Donghe" "Taitung"
"Chenggong" "Taitung"
"Changbin" "Taitung"
"Taimali" "Taitung"
"Jinfeng" "Taitung"
"Dawu" "Taitung"
"Daren" "Taitung"
"Hualien" "Hualien"
"Xincheng" "Hualien"
"Xiulin" "Hualien"
"Ji’an" "Hualien"
"Shoufeng" "Hualien"
"Fenglin" "Hualien"
"Guangfu" "Hualien"
"Fengbin" "Hualien"
"Ruisui" "Hualien"
"Wanrong" "Hualien"
"Yuli" "Hualien"
"Zhuoxi" "Hualien"
"Fuli" "Hualien"
